ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_Spending,Income_log,Total_Spending_log
5524,1957,Graduation,Single,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,57,1617,10.970591974102547,7.388946097618437
2174,1954,Graduation,Single,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60,27,10.743868690309933,3.332204510175204
4141,1965,Graduation,Married,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,49,776,11.179045864561353,6.655440350367647
6182,1984,Graduation,Married,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,30,53,10.190431852901,3.9889840465642745
5324,1981,PhD,Married,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,33,422,10.973254451090401,6.0473721790462776
7446,1967,Master,Married,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,47,716,11.043145810640238,6.57507584059962
965,1971,Graduation,Divorced,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,43,590,10.926585752727021,6.3818160174060985
6177,1985,PhD,Married,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,29,169,10.417956531216918,5.135798437050262
4855,1974,PhD,Married,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,40,46,10.320617692174796,3.8501476017100584
5899,1950,PhD,Married,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,64,49,8.639233817325263,3.912023005428146
387,1976,Basic,Married,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,38,61,8.922791623969637,4.127134385045092
2125,1959,Graduation,Divorced,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,55,1102,11.051429542337106,7.005789019253503
8180,1952,Master,Divorced,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,62,310,10.991291642487635,5.739792912179234
2569,1987,Graduation,Married,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,27,46,9.759848102334518,3.8501476017100584
2114,1946,PhD,Single,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,68,1315,11.324195417595107,7.182352111885263
9736,1980,Graduation,Married,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,34,96,10.641870970494749,4.574710978503383
4939,1946,Graduation,Married,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,68,317,10.539032102959615,5.762051382780177
6565,1949,Master,Married,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,65,1782,11.251508751434526,7.48605261786314
2278,1985,Graduation,Single,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,29,133,10.428600622910189,4.897839799950911
9360,1982,Graduation,Married,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,32,316,10.519780686235853,5.75890177387728
5376,1979,Graduation,Married,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,35,1730,7.803026643632217,7.456454555176209
1993,1949,PhD,Married,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,65,972,10.978626485018596,6.880384082186005
4047,1954,PhD,Married,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,60,544,11.087130090388813,6.300785794663244
1409,1951,Graduation,Married,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,63,444,10.613737640995735,6.09807428216624
7892,1969,Graduation,Single,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,45,75,9.83037908071549,4.330733340286331
2404,1976,Graduation,Married,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,38,257,10.884816680589505,5.552959584921617
9422,1989,Graduation,Married,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,25,131,10.554796597479278,4.882801922586371
1966,1965,PhD,Married,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,49,1672,11.345914106667006,7.422373700986824
6864,1989,Master,Divorced,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,25,30,9.30383071506352,3.4339872044851463
3033,1963,Master,Married,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,318,10.561551448966803,5.765191102784844
5710,1970,Graduation,Married,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,44,120,10.61026639832702,4.795790545596741
7373,1952,PhD,Divorced,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,62,302,10.749591843760111,5.713732805509369
8755,1946,Master,Married,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,68,1196,11.13689293754577,7.087573705557973
10738,1951,Master,Single,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,63,65,10.807503253534671,4.189654742026425
4339,1970,PhD,Married,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,44,913,11.117717571314712,6.81783057145415
10755,1976,Graduation,Married,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,38,81,10.074031693706946,4.406719247264253
8595,1973,Graduation,Widow,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,41,67,10.65561093819637,4.219507705176107
2968,1943,PhD,Divorced,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,71,902,10.79853421874079,6.805722553416985
8601,1980,Graduation,Married,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,34,1395,11.289931902407144,7.241366283322318
503,1985,Master,Married,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,29,53,9.931102719569102,3.9889840465642745
8430,1957,Graduation,Married,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,57,22,9.99857043378282,3.1354942159291497
2139,1975,Master,Married,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,39,31,8.922791623969637,3.4657359027997265
1371,1976,Graduation,Single,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,38,984,11.289056650716423,6.892641641172089
9909,1996,Graduation,Married,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,18,122,8.922791623969637,4.812184355372417
7286,1968,Graduation,Married,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,46,55,10.638951609723101,4.02535169073515
6566,1954,PhD,Married,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,60,1319,11.19204504181486,7.1853870155804165
8614,1957,Graduation,Widow,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,57,507,11.089606928642473,6.230481447578482
4114,1964,Master,Married,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,50,1693,11.279024257003059,7.434847875211999
1331,1977,Graduation,Single,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,37,72,10.485451744135313,4.290459441148391
2225,1977,Graduation,Divorced,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,37,1617,11.321559127189037,7.388946097618437
9381,1978,Graduation,Married,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,36,606,11.103060692517378,6.408528791059498
6260,1955,Master,Married,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,59,1957,11.319158660491532,7.579678823090456
10383,1966,Graduation,Divorced,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,48,1093,11.160356366215561,6.9975959829819265
7437,1988,Graduation,Single,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,26,29,10.237778841189767,3.4011973816621555
8375,1968,PhD,Married,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,46,518,10.932303075252127,6.251903883165888
6853,1982,Master,Single,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,32,1438,11.2355632920364,7.271703706887368
3076,1975,Graduation,Married,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,39,612,11.107270338809778,6.418364935936212
1012,1952,Graduation,Single,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,62,884,11.03204691757219,6.785587645007929
6518,1951,PhD,Widow,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,63,606,11.122560769584661,6.408528791059498
4137,1948,Graduation,Married,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,66,1076,11.165733981956047,6.981934677156389
8082,1971,Graduation,Married,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,43,34,10.155101935826032,3.5553480614894135
1386,1967,Graduation,Married,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,47,11,10.3882258415388,2.4849066497880004
9369,1979,Graduation,Single,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,35,1274,11.387305551045577,7.150701457592526
4477,1958,Graduation,Married,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,56,653,11.143266593473202,6.483107351457199
1357,1970,Graduation,Married,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,44,1562,11.223308187883937,7.354362330421477
1402,1954,Master,Married,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,60,1253,11.112328488258925,7.134093721192866
6312,1959,Graduation,Married,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,55,863,11.082634735426408,6.761572768804055
8132,1975,PhD,Married,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,39,661,11.012578085491866,6.495265555937008
