Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_Spending
1957,Graduation,Single,58138.0,0,0,58,3,8,10,4,7,0,0,0,0,0,0,1,57,1617
1954,Graduation,Single,46344.0,1,1,38,2,1,1,2,5,0,0,0,0,0,0,0,60,27
1965,Graduation,Married,71613.0,0,0,26,1,8,2,10,4,0,0,0,0,0,0,0,49,776
1984,Graduation,Married,26646.0,1,0,26,2,2,0,4,6,0,0,0,0,0,0,0,30,53
1981,PhD,Married,58293.0,1,0,94,5,5,3,6,5,0,0,0,0,0,0,0,33,422
1967,Master,Married,62513.0,0,1,16,2,6,4,10,6,0,0,0,0,0,0,0,47,716
1971,Graduation,Divorced,55635.0,0,1,34,4,7,3,7,6,0,0,0,0,0,0,0,43,590
1985,PhD,Married,33454.0,1,0,32,2,4,0,4,8,0,0,0,0,0,0,0,29,169
1974,PhD,Married,30351.0,1,0,19,1,3,0,2,9,0,0,0,0,0,0,1,40,46
1950,PhD,Married,5648.0,1,1,68,1,1,0,0,20,1,0,0,0,0,0,0,64,49
1976,Basic,Married,7500.0,0,0,59,1,2,0,3,8,0,0,0,0,0,0,0,38,61
1959,Graduation,Divorced,63033.0,0,0,82,1,3,4,8,2,0,0,0,0,0,0,0,55,1102
1952,Master,Divorced,59354.0,1,1,53,3,6,1,5,6,0,0,0,0,0,0,0,62,310
1987,Graduation,Married,17323.0,0,0,38,1,1,0,3,8,0,0,0,0,0,0,0,27,46
1946,PhD,Single,82800.0,0,0,23,1,7,6,12,3,0,0,1,1,0,0,1,68,1315
1980,Graduation,Married,41850.0,1,1,51,3,3,0,3,8,0,0,0,0,0,0,0,34,96
1946,Graduation,Married,37760.0,0,0,20,2,4,1,6,7,0,0,0,0,0,0,0,68,317
1949,Master,Married,76995.0,0,1,91,2,11,4,9,5,0,0,0,1,0,0,0,65,1782
1985,Graduation,Single,33812.0,1,0,86,2,2,1,3,6,0,0,0,0,0,0,0,29,133
1982,Graduation,Married,37040.0,0,0,41,1,4,2,5,8,0,0,0,0,0,0,0,32,316
1979,Graduation,Married,2447.0,1,0,42,15,0,28,0,1,0,0,0,0,0,0,0,35,1730
1949,PhD,Married,58607.0,0,1,63,3,2,3,9,8,0,1,0,0,0,0,0,65,972
1954,PhD,Married,65324.0,0,1,0,3,6,2,9,4,0,0,0,0,0,0,0,60,544
1951,Graduation,Married,40689.0,0,1,69,7,7,1,5,8,0,0,0,0,0,0,0,63,444
1969,Graduation,Single,18589.0,0,0,89,2,2,1,3,7,0,0,0,0,0,0,0,45,75
1976,Graduation,Married,53359.0,1,1,4,4,5,1,4,7,0,0,0,0,0,0,0,38,257
1989,Graduation,Married,38360.0,1,0,26,2,2,1,4,3,0,0,0,0,0,0,0,25,131
1965,PhD,Married,84618.0,0,0,96,1,6,9,10,2,0,0,1,0,0,0,0,49,1672
1989,Master,Divorced,10979.0,0,0,34,2,3,0,3,5,0,0,0,0,0,0,0,25,30
1963,Master,Married,38620.0,0,0,56,1,2,5,3,3,0,0,0,0,0,0,0,51,318
1970,Graduation,Married,40548.0,0,1,31,2,2,1,4,5,0,1,0,0,0,0,0,44,120
1952,PhD,Divorced,46610.0,0,2,8,6,4,1,6,6,0,0,0,0,0,0,1,62,302
1946,Master,Married,68657.0,0,0,4,1,3,5,9,7,0,0,0,0,0,0,0,68,1196
1951,Master,Single,49389.0,1,1,55,1,2,0,3,7,0,0,0,0,0,0,0,63,65
1970,PhD,Married,67353.0,0,1,37,5,5,6,12,2,0,0,0,0,0,0,0,44,913
1976,Graduation,Married,23718.0,1,0,76,3,3,1,2,7,0,0,0,0,0,0,0,38,81
1973,Graduation,Widow,42429.0,0,1,99,2,1,1,3,5,0,0,0,0,0,0,0,41,67
1943,PhD,Divorced,48948.0,0,0,53,2,7,10,5,6,1,0,0,0,0,0,1,71,902
1980,Graduation,Married,80011.0,0,1,3,2,8,6,5,4,0,0,0,0,0,0,0,34,1395
1985,Master,Married,20559.0,1,0,88,2,2,0,3,8,0,0,0,0,0,0,0,29,53
1957,Graduation,Married,21994.0,0,1,4,1,0,0,3,5,0,0,0,0,0,0,0,57,22
1975,Master,Married,7500.0,1,0,19,3,2,0,3,5,0,0,0,0,0,0,0,39,31
1976,Graduation,Single,79941.0,0,0,72,1,2,4,9,1,0,0,0,0,0,0,0,38,984
1996,Graduation,Married,7500.0,0,0,24,3,3,1,3,9,0,0,0,0,0,0,1,18,122
1968,Graduation,Married,41728.0,1,0,92,1,2,0,2,10,0,0,0,0,0,0,0,46,55
1954,PhD,Married,72550.0,1,1,39,9,5,2,12,8,0,0,0,0,0,0,0,60,1319
1957,Graduation,Widow,65486.0,0,1,29,1,4,2,10,2,0,0,0,0,0,0,0,57,507
1964,Master,Married,79143.0,0,0,2,1,6,9,13,3,0,0,0,0,0,0,0,50,1693
1977,Graduation,Single,35790.0,1,0,54,2,2,0,3,7,0,0,0,0,0,0,0,37,72
1977,Graduation,Divorced,82582.0,0,0,54,1,4,9,7,1,1,0,0,1,0,0,1,37,1617
1978,Graduation,Married,66373.0,1,1,57,7,4,2,10,3,0,0,0,0,0,0,0,36,606
1955,Master,Married,82384.0,0,0,55,1,3,10,13,1,0,0,1,0,0,0,1,59,1957
1966,Graduation,Divorced,70287.0,0,0,30,1,5,5,10,3,0,0,0,0,0,0,1,48,1093
1988,Graduation,Single,27938.0,1,0,31,1,1,0,4,3,0,0,0,0,0,0,0,26,29
1968,PhD,Married,55954.0,0,1,63,3,8,2,6,7,0,0,0,0,0,0,0,46,518
1982,Master,Single,75777.0,0,0,12,1,3,6,11,1,0,1,1,0,0,0,1,32,1438
1975,Graduation,Married,66653.0,1,1,18,4,4,2,12,3,0,0,0,0,0,0,0,39,612
1952,Graduation,Single,61823.0,0,1,26,4,8,2,10,7,0,0,0,0,0,0,0,62,884
1951,PhD,Widow,67680.0,0,1,8,1,7,3,8,5,0,0,0,0,0,0,0,63,606
1948,Graduation,Married,70666.0,0,0,29,1,7,4,4,4,0,0,0,0,0,0,0,66,1076
